time,position,velocity
0.4,0.77,-0.04
0.45,0.77,-0.12
0.5,0.76,-0.24
0.55,0.75,-0.39
0.6,0.72,-0.55
0.65,0.69,-0.73
0.7,0.65,-0.9
0.75,0.6,-1.01
0.8,0.55,-1.1
0.85,0.5,-1.23
0.9,0.43,-1.4
