time,position,velocity
0.15,0.78,-0.04
0.2,0.78,-0.14
0.25,0.76,-0.29
0.3,0.75,-0.47
0.35,0.72,-0.69
0.4,0.68,-0.92
0.45,0.62,-1.1
0.5,0.56,-1.24
0.55,0.5,-1.4
0.6,0.43,-1.62
